POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-2176.7385,-17912.5725,0.0,2170.7148,-1249.5719,-20089.310999999998,921.1429000000003,-19168.168099999995
1,-2170.4156,-17813.1498,0.0,2189.4163,-1271.0836,-19983.5654,918.3326999999999,-19065.2327
2,-2139.4834,-17755.4135,0.0,2203.5488,-1297.9057,-19894.8969,905.6431,-18989.2538
3,-2166.5186,-17823.5017,0.0,2188.0744,-1285.1307,-19990.0203,902.9437,-19087.0766
4,-2136.0759,-17758.6305,0.0,2187.0727,-1264.5978,-19894.7064,922.4749000000002,-18972.231499999998
5,-2140.6937,-17636.5505,0.0,2184.0865,-1259.5215,-19777.2442,924.5649999999998,-18852.6792
6,-2175.6116,-17873.0358,0.0,2183.9164,-1258.8183,-20048.6474,925.0981000000002,-19123.5493
7,-2136.8076,-17943.8404,0.0,2183.3778,-1270.9717,-20080.648,912.4061000000002,-19168.2419
8,-2190.3169,-17817.3857,0.0,2185.9246,-1257.9445,-20007.702599999997,927.9800999999998,-19079.7225
9,-2143.4907,-17782.3511,0.0,2181.8232,-1267.6981,-19925.8418,914.1250999999997,-19011.7167
10,-2190.3526,-17941.3711,0.0,2172.6757,-1247.4281,-20131.723700000002,925.2475999999997,-19206.476100000003
11,-2164.2226,-17983.2156,0.0,2175.7091,-1264.464,-20147.4382,911.2451000000001,-19236.1931
12,-2161.9906,-17743.6772,0.0,2180.2357,-1259.7832,-19905.6678,920.4525000000001,-18985.2153
13,-2153.3425,-17779.2463,0.0,2178.7142,-1254.2082,-19932.588799999998,924.5059999999999,-19008.0828
14,-2136.97,-17848.5258,0.0,2180.4719,-1271.5312,-19985.4958,908.9407000000001,-19076.5551
15,-2125.0592,-17930.3776,0.0,2188.339,-1276.8347,-20055.4368,911.5042999999998,-19143.9325
16,-2192.7697,-17853.0201,0.0,2174.4145,-1254.5726,-20045.789800000002,919.8418999999999,-19125.947900000003
17,-2116.8584,-17859.3663,0.0,2182.7068,-1266.3624,-19976.224700000002,916.3444,-19059.880300000004
18,-2143.0963,-17848.1881,0.0,2182.9572,-1267.339,-19991.2844,915.6181999999999,-19075.6662
19,-2118.0773,-17835.5803,0.0,2194.3823,-1274.7506,-19953.657600000002,919.6317000000001,-19034.0259
20,-2095.8449,-17945.8717,0.0,2203.4921,-1292.3301,-20041.7166,911.162,-19130.5546
21,-2135.8365,-17826.9997,0.0,2210.9623,-1291.7744,-19962.8362,919.1879000000001,-19043.6483
22,-2189.9982,-17794.5702,0.0,2184.8378,-1254.9357,-19984.568399999996,929.9020999999998,-19054.666299999997
23,-2170.4488,-17876.4647,0.0,2188.3154,-1271.261,-20046.913500000002,917.0544,-19129.8591
24,-2134.4959,-17941.3863,0.0,2191.7741,-1282.1902,-20075.8822,909.5839000000001,-19166.298300000002
25,-2128.3622,-17911.5986,0.0,2201.517,-1281.9061,-20039.9608,919.6108999999999,-19120.3499
26,-2117.2917,-17839.9693,0.0,2219.198,-1307.1946,-19957.261000000002,912.0033999999998,-19045.2576
27,-2121.8233,-17889.8963,0.0,2188.4808,-1282.9304,-20011.7196,905.5503999999999,-19106.1692
28,-2147.9252,-17941.3367,0.0,2197.4677,-1293.2506,-20089.2619,904.2171000000001,-19185.0448
29,-2160.6315,-18097.0601,0.0,2191.33,-1286.5601,-20257.6916,904.7699,-19352.921699999995
30,-2152.3745,-18066.0609,0.0,2186.123,-1277.3898,-20218.435400000002,908.7332000000001,-19309.702200000003
31,-2157.2123,-17924.4529,0.0,2186.7987,-1270.7617,-20081.6652,916.0369999999998,-19165.6282
32,-2169.0179,-18035.447,0.0,2173.2379,-1268.0111,-20204.4649,905.2268000000001,-19299.2381
33,-2175.4172,-17876.7963,0.0,2162.0161,-1249.8426,-20052.2135,912.1734999999999,-19140.04
34,-2168.198,-17947.7595,0.0,2174.3247,-1254.8785,-20115.9575,919.4462000000001,-19196.5113
35,-2154.5592,-17956.4366,0.0,2186.8507,-1269.6753,-20110.9958,917.1753999999999,-19193.8204
36,-2164.062,-17829.2212,0.0,2183.6944,-1268.6179,-19993.283199999998,915.0764999999999,-19078.2067
37,-2161.2367,-17689.4477,0.0,2195.1194,-1271.6689,-19850.684400000002,923.4505000000001,-18927.233900000003
38,-2163.4328,-17853.3832,0.0,2181.3555,-1258.0488,-20016.816,923.3067000000001,-19093.509299999998
39,-2170.8205,-17886.6831,0.0,2177.6747,-1264.093,-20057.503599999996,913.5817,-19143.921899999998

Receptor Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-2128.1436,-18321.1858,0.0,2162.394,-1261.4232,-20449.3294,900.9707999999998,-19548.3586
1,-2122.5152,-18224.4598,0.0,2179.3379,-1281.9229,-20346.975,897.415,-19449.56
2,-2098.3848,-18170.4512,0.0,2191.9206,-1306.2252,-20268.836,885.6953999999998,-19383.1406
3,-2125.1112,-18253.8837,0.0,2179.6687,-1296.7031,-20378.994899999998,882.9656000000002,-19496.029299999995
4,-2086.7471,-18152.4208,0.0,2179.0355,-1278.1229,-20239.1679,900.9125999999999,-19338.2553
5,-2100.6729,-18041.7425,0.0,2174.5137,-1269.7918,-20142.4154,904.7219,-19237.6935
6,-2125.856,-18276.936,0.0,2174.3341,-1270.0553,-20402.792,904.2788,-19498.5132
7,-2094.6125,-18338.0681,0.0,2174.2491,-1282.7058,-20432.6806,891.5433,-19541.1373
8,-2145.4785,-18201.9005,0.0,2178.1708,-1271.4636,-20347.379,906.7071999999998,-19440.6718
9,-2096.9185,-18165.0814,0.0,2173.0017,-1281.0093,-20261.9999,891.9923999999999,-19370.0075
10,-2149.8848,-18325.1183,0.0,2164.1565,-1259.0677,-20475.003099999998,905.0888,-19569.914299999997
11,-2112.2436,-18396.8036,0.0,2168.6736,-1276.5499,-20509.0472,892.1237000000001,-19616.923499999997
