#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-2634176.726427367,359770.5,-2274406.226427367,237.65241870717247,1866.992645761758,0.9753908277113066,0
1000,-2546767.820177367,407446.0,-2139321.820177367,269.1452673094725,1866.992645761758,0.9753908277113066,51.8
1500,-2499169.281114867,429349.3125,-2069819.968614867,283.6138665785178,1866.992645761758,0.9753908277113066,52.2
2000,-2471074.601427367,440970.96875,-2030103.632677367,291.29074591463853,1866.992645761758,0.9753908277113066,51.8
2500,-2454767.468614867,447103.3125,-2007664.156114867,295.3415681041491,1866.992645761758,0.9753908277113066,51.5
3000,-2449539.679552367,451557.5625,-1997982.117052367,298.28389741137806,1866.992645761758,0.9753908277113066,51
3500,-2443662.038927367,453555.5,-1990106.538927367,299.60366843012685,1866.992645761758,0.9753908277113066,51.1
4000,-2441688.890489867,453664.8125,-1988024.077989867,299.675876629576,1866.992645761758,0.9753908277113066,50.9
4500,-2442615.788927367,456716.3125,-1985899.476427367,301.6915959720039,1866.992645761758,0.9753908277113066,50.9
5000,-2439550.538927367,454496.78125,-1985053.757677367,300.2254474969103,1866.992645761758,0.9753908277113066,50.7
