#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-1356275.573859959,187149.5625,-1169126.011359959,236.74036324816703,973.698717532853,0.974973079283311,0
1000,-1311312.265266209,213670.625,-1097641.640266209,270.2889640896857,973.698717532853,0.974973079283311,68.1
1500,-1287753.042609959,224837.78125,-1062915.261359959,284.4151880132604,973.698717532853,0.974973079283311,80.5
2000,-1273314.042609959,230439.25,-1042874.7926099589,291.5009312492257,973.698717532853,0.974973079283311,85.1
2500,-1264633.038703709,232334.0625,-1032298.9762037089,293.8978302509916,973.698717532853,0.974973079283311,87.5
3000,-1261997.804328709,235592.21875,-1026405.5855787089,298.01933117164845,973.698717532853,0.974973079283311,89.3
3500,-1259855.441047459,235686.203125,-1024169.2379224589,298.1382194809768,973.698717532853,0.974973079283311,90.4
4000,-1258740.776984959,236362.9375,-1022377.8394849589,298.99427460405525,973.698717532853,0.974973079283311,91.2
4500,-1258401.038703709,238578.96875,-1019822.0699537089,301.7975087451679,973.698717532853,0.974973079283311,91.7
5000,-1256126.097297459,236493.375,-1019632.7222974589,299.1592753698528,973.698717532853,0.974973079283311,92.3
