#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50000,-85839.04862904834,15609.203338603023,-70229.84529044532,303.5581932047163,64.0,0.9693454206348489,0
100000,-85632.32090688037,15569.220234850887,-70063.10067202948,302.7806263763248,64.0,0.9693454206348489,630
150000,-85647.99687123584,15404.866993874079,-70243.12987736176,299.5843855563417,64.0,0.9693454206348489,629
200000,-86135.56242299365,15845.356915301934,-70290.20550769172,308.1507628257594,64.0,0.9693454206348489,628
250000,-85547.72929311084,15612.850353319664,-69934.87893979118,303.6291181054918,64.0,0.9693454206348489,627
300000,-85787.58854604053,15244.77854593913,-70542.8100001014,296.47108381032007,64.0,0.9693454206348489,626
350000,-86032.23112416553,15604.344976820052,-70427.88614734547,303.4637107706816,64.0,0.9693454206348489,625
400000,-85975.83348012256,15344.522916730843,-70631.31056339171,298.41085103117445,64.0,0.9693454206348489,624
450000,-85875.02104115771,15460.359374449356,-70414.66166670836,300.6635672684794,64.0,0.9693454206348489,624
500000,-85665.51396107959,15130.993323142058,-70534.52063793753,294.25825872909036,64.0,0.9693454206348489,623
550000,-85576.2943565874,15430.368088864721,-70145.92626772268,300.08031517889697,64.0,0.9693454206348489,622
600000,-85634.57182240771,15029.660696995445,-70604.91112541227,292.28760409422614,64.0,0.9693454206348489,622
650000,-85843.20341420459,15736.411463075085,-70106.7919511295,306.0320586280849,64.0,0.9693454206348489,621
700000,-85796.20542836474,15526.043054830632,-70270.16237353411,301.94094311573144,64.0,0.9693454206348489,621
750000,-85905.62321400928,15449.892856150283,-70455.73035785899,300.46002085325955,64.0,0.9693454206348489,621
800000,-85382.63188100146,15333.233002979774,-70049.39887802169,298.19129172725815,64.0,0.9693454206348489,620
850000,-85981.90519643115,15725.258274664404,-70256.64692176675,305.81515827455786,64.0,0.9693454206348489,620
900000,-85653.19596791553,15424.517831494275,-70228.67813642125,299.96654296909026,64.0,0.9693454206348489,620
950000,-85658.54472279834,15282.78363113897,-70375.76109165937,297.210183349585,64.0,0.9693454206348489,619
1000000,-86508.64897084521,15085.314898543525,-71423.33407230169,293.3699328011888,64.0,0.9693454206348489,619
1050000,-85888.0863487749,15160.430220532988,-70727.65612824191,294.83072941780534,64.0,0.9693454206348489,619
1100000,-86120.93962025928,15469.139944716822,-70651.79967554245,300.8343264025544,64.0,0.9693454206348489,619
1150000,-86159.66020131396,15590.176512769423,-70569.48368854454,303.1881711896795,64.0,0.9693454206348489,619
1200000,-86447.2650597124,15605.829280078644,-70841.43577963376,303.4925765882107,64.0,0.9693454206348489,619
1250000,-86070.97123647021,15552.64253750327,-70518.32869896694,302.4582335068635,64.0,0.9693454206348489,619
1300000,-85624.19560170459,15728.349273742642,-69895.84632796195,305.8752701249216,64.0,0.9693454206348489,618
1350000,-85736.37412953662,15285.572892761673,-70450.80123677495,297.2644271953596,64.0,0.9693454206348489,618
1400000,-86119.30473256396,15786.397930404404,-70332.90680215956,307.00416472331705,64.0,0.9693454206348489,618
1450000,-86365.14286732959,15164.012408529874,-71201.13045879971,294.90039360837716,64.0,0.9693454206348489,618
