#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50000,-85798.50241995271,15253.752814647742,-70544.74960530497,296.93368524031644,64.0,0.9684105722189177,0
100000,-85643.39524221834,15027.04001115961,-70616.35523105873,292.52043238058405,64.0,0.9684105722189177,628
150000,-85546.15500784334,15679.071586515405,-69867.08342132793,305.21305569210955,64.0,0.9684105722189177,628
200000,-85819.01291799959,15487.97782164067,-70331.03509635892,301.49317268887813,64.0,0.9684105722189177,627
250000,-86232.96396780427,15467.679288878106,-70765.28467892617,301.0980359503064,64.0,0.9684105722189177,626
300000,-85928.64377737459,15522.524648927385,-70406.1191284472,302.165670589182,64.0,0.9684105722189177,625
350000,-85631.50724173005,15477.23350061779,-70154.27374111227,301.284020824711,64.0,0.9684105722189177,625
400000,-85758.84629202302,15417.789418869885,-70341.05687315314,300.12686622324253,64.0,0.9684105722189177,624
450000,-85850.26377249177,15413.041169460164,-70437.22260303161,300.0344355137115,64.0,0.9684105722189177,624
500000,-85754.6526885074,14999.490961930598,-70755.1617265768,291.9841551239747,64.0,0.9684105722189177,623
550000,-86352.36741018709,15448.004897972802,-70904.36251221428,300.71504892623705,64.0,0.9684105722189177,623
600000,-85962.46824026521,15191.615728407167,-70770.85251185804,295.7241078837336,64.0,0.9684105722189177,622
650000,-85591.54477835115,15475.123347431188,-70116.42143091996,301.242944011042,64.0,0.9684105722189177,622
700000,-85966.95823049959,15382.400003935327,-70584.55822656426,299.4379662834896,64.0,0.9684105722189177,622
750000,-85186.31064749177,15546.893683931325,-69639.41696356045,302.64004482727256,64.0,0.9684105722189177,621
800000,-85816.55771780427,15573.793253812299,-70242.76446399197,303.1636791429189,64.0,0.9684105722189177,621
850000,-85844.2659697574,15605.436622638255,-70238.82934711914,303.7796575341439,64.0,0.9684105722189177,621
900000,-85545.44577932771,15554.52745529497,-69990.91832403274,302.7886458889806,64.0,0.9684105722189177,620
950000,-85952.0013213199,15454.132790111005,-70497.8685312089,300.83433613493,64.0,0.9684105722189177,620
1000000,-86046.44187307771,15552.60312338313,-70493.83874969458,302.75118632259387,64.0,0.9684105722189177,620
1050000,-85396.8792510074,15253.97105612373,-70142.90819488367,296.9379335880198,64.0,0.9684105722189177,620
1100000,-85724.43406057771,15095.14224052291,-70629.2918200548,293.84612882942827,64.0,0.9684105722189177,620
1150000,-85649.8265166324,15371.323996682186,-70278.50251995021,299.22235772529496,64.0,0.9684105722189177,619
1200000,-85849.01194143709,15293.996247785399,-70555.01569365169,297.71707481358993,64.0,0.9684105722189177,619
1250000,-86129.7688994449,15380.573221082333,-70749.19567836256,299.40240563351284,64.0,0.9684105722189177,619
1300000,-86315.41672659334,15498.969119551824,-70816.44760704151,301.70713227206994,64.0,0.9684105722189177,619
