#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-92865.5472197861,12407.71652653208,-80457.83069325401,241.57107039232147,64.0,0.9680734347623782,0
1000,-89811.9681182236,13869.627681887243,-75942.34043633635,270.0336357533572,64.0,0.9680734347623782,567
1500,-87981.1790557236,14725.259061565157,-73255.91999415844,286.6922842490787,64.0,0.9680734347623782,561
2000,-87615.0022979111,15163.820615317672,-72451.18168259342,295.23082425733645,64.0,0.9680734347623782,566
2500,-87117.6243682236,14938.01954487199,-72179.6048233516,290.83460790546746,64.0,0.9680734347623782,558
3000,-86478.00254205172,14611.371420337819,-71866.6311217139,284.474957689682,64.0,0.9680734347623782,555
3500,-86477.9681182236,15350.730965304305,-71127.23715291929,298.8698607566893,64.0,0.9680734347623782,553
4000,-86413.3168731064,15325.321294503752,-71087.99557860265,298.3751491503691,64.0,0.9680734347623782,556
4500,-86218.22031548922,15559.159377335105,-70659.06093815411,302.9278414888237,64.0,0.9680734347623782,559
5000,-85745.0110869736,15100.926945079176,-70644.08414189442,294.00632084384154,64.0,0.9680734347623782,564
5500,-86762.19394830172,15827.375785758719,-70934.818162543,308.14985995943636,64.0,0.9680734347623782,566
6000,-86597.50156548922,14870.685140442685,-71726.81642504653,289.52364596356347,64.0,0.9680734347623782,564
6500,-86617.66318658297,15336.798515597242,-71280.86467098573,298.5986040124104,64.0,0.9680734347623782,565
7000,-86292.42832330172,15417.837502732407,-70874.59082056931,300.1763862597635,64.0,0.9680734347623782,560
7500,-86153.90830377047,15116.017837319523,-71037.89046645095,294.3001317947833,64.0,0.9680734347623782,561
8000,-85979.20603326266,15355.000758873532,-70624.20527438913,298.9529911699822,64.0,0.9680734347623782,562
8500,-86237.08677056734,15155.687331185676,-71081.39943938167,295.0724739154851,64.0,0.9680734347623782,562
9000,-86459.26377252047,15060.376041835174,-71398.8877306853,293.2168181919167,64.0,0.9680734347623782,562
9500,-86289.46567681734,15419.132135512773,-70870.33354130457,300.2015920118331,64.0,0.9680734347623782,562
10000,-86352.6194854111,15350.601446723042,-71002.01803868805,298.8673391047605,64.0,0.9680734347623782,562
10500,-86182.61020806734,15707.240317102522,-70475.36989096482,305.810891810599,64.0,0.9680734347623782,558
11000,-85876.50986627047,15436.124333208194,-70440.38553306228,300.53242028122685,64.0,0.9680734347623782,559
11500,-86183.3060088486,15542.62502641417,-70640.68098243442,302.605927231541,64.0,0.9680734347623782,559
12000,-85552.47715142672,15297.788864515489,-70254.68828691123,297.83910864939986,64.0,0.9680734347623782,557
12500,-85738.56626275484,15545.825799440267,-70192.74046331458,302.6682444326427,64.0,0.9680734347623782,556
13000,-85733.1995635361,15335.685862181708,-70397.51370135439,298.57694129340877,64.0,0.9680734347623782,556
13500,-86184.01621392672,15677.302152996417,-70506.7140609303,305.2280130566214,64.0,0.9680734347623782,555
14000,-86640.20566705172,15542.922922201687,-71097.28274485003,302.61172709037095,64.0,0.9680734347623782,554
14500,-86353.66318658297,15499.180779151386,-70854.48240743158,301.7600928436246,64.0,0.9680734347623782,553
15000,-86127.1526885361,15629.34856329346,-70497.80412524263,304.29438437732927,64.0,0.9680734347623782,551
15500,-85824.62680962984,15653.787115139421,-70170.83969449042,304.77018885881,64.0,0.9680734347623782,550
16000,-85839.02720025484,15786.29507619713,-70052.73212405771,307.35004228468136,64.0,0.9680734347623782,550
16500,-85880.47446587984,15718.687059593154,-70161.78740628669,306.03375327185614,64.0,0.9680734347623782,551
17000,-86235.36704400484,15595.837601621635,-70639.52944238321,303.6419453194552,64.0,0.9680734347623782,550
17500,-86444.9554229111,15417.814853647724,-71027.14056926337,300.17594529517356,64.0,0.9680734347623782,551
18000,-86521.82798150484,15288.449818352936,-71233.37816315191,297.65728281761955,64.0,0.9680734347623782,551
18500,-86164.15439752047,15464.381080294028,-70699.77331722644,301.0825628175053,64.0,0.9680734347623782,547
19000,-85965.83066705172,15221.49226399907,-70744.33840305265,296.35365792890394,64.0,0.9680734347623782,547
19500,-85917.44736627047,15286.418851823546,-70631.02851444692,297.61774107298135,64.0,0.9680734347623782,547
20000,-85850.38877252047,15210.230631856248,-70640.15814066422,296.13440045914405,64.0,0.9680734347623782,545
20500,-85844.38096002047,15776.711284309626,-70067.66967571084,307.163451395074,64.0,0.9680734347623782,543
21000,-85812.5228057236,15429.7239427717,-70382.7988629519,300.40780837819324,64.0,0.9680734347623782,544
21500,-86017.46054986422,15253.492014429998,-70763.96853543422,296.9766745772418,64.0,0.9680734347623782,540
22000,-85786.97226861422,15319.523126313463,-70467.44914230076,298.2622621664469,64.0,0.9680734347623782,535
22500,-85798.8714385361,15109.327405065298,-70689.5440334708,294.16987294517264,64.0,0.9680734347623782,531
23000,-86370.5774932236,15426.768764483859,-70943.80872873974,300.3502727647169,64.0,0.9680734347623782,531
23500,-86397.3665557236,15442.885485439096,-70954.4810702845,300.6640560079145,64.0,0.9680734347623782,531
24000,-85766.0130400986,15165.33331800322,-70600.67972209537,295.260275704438,64.0,0.9680734347623782,527
24500,-85650.9085479111,15607.914380900213,-70042.99416701088,303.87707323287736,64.0,0.9680734347623782,524
25000,-85944.62778619234,15343.1668071881,-70601.46097900425,298.7225909694693,64.0,0.9680734347623782,521
25500,-85866.51352837984,15381.486381907482,-70485.02714647236,299.46865094449737,64.0,0.9680734347623782,517
26000,-85863.3997588486,15484.601840728195,-70378.7979181204,301.47624933764644,64.0,0.9680734347623782,514
26500,-86195.7015166611,15306.229490459198,-70889.4720262019,298.0034427587135,64.0,0.9680734347623782,515
27000,-86138.76523736422,15119.61889341264,-71019.14634395158,294.3702422758776,64.0,0.9680734347623782,516
27500,-86299.69028619234,15090.520991375204,-71209.16929481714,293.8037229387922,64.0,0.9680734347623782,517
28000,-86768.82334283297,15341.78543341934,-71427.03790941363,298.695696420483,64.0,0.9680734347623782,517
28500,-86398.9915557236,15179.627314503421,-71219.36424122017,295.5385715558426,64.0,0.9680734347623782,517
29000,-86212.6067900986,14836.458512297017,-71376.14827780158,288.857273293025,64.0,0.9680734347623782,517
29500,-86349.2894072861,15499.39460513601,-70849.89480215008,301.76425591197585,64.0,0.9680734347623782,514
30000,-86247.34629205172,15422.404800032498,-70824.94149201922,300.2653088987699,64.0,0.9680734347623782,512
30500,-86258.61240533297,15222.072600915097,-71036.53980441787,296.36495675328416,64.0,0.9680734347623782,509
31000,-86286.6946807236,15127.959673475474,-71158.73500724812,294.5326324435911,64.0,0.9680734347623782,507
31500,-85770.9886260361,15566.784767830279,-70204.20385820582,303.07630343507617,64.0,0.9680734347623782,505
32000,-85754.95102837984,15573.72960349801,-70181.22142488183,303.2115153721288,64.0,0.9680734347623782,502
32500,-86078.48716119234,15534.248794580344,-70544.238366612,302.44284683833365,64.0,0.9680734347623782,500
33000,-86167.52793267672,15576.697343813255,-70590.83058886346,303.26929556101913,64.0,0.9680734347623782,499
33500,-85829.7659697861,15221.787846142892,-70607.9781236432,296.3594127424282,64.0,0.9680734347623782,499
34000,-86050.8792510361,14942.229331394541,-71108.64991964155,290.9165700162395,64.0,0.9680734347623782,499
34500,-86351.34043267672,15475.14578245941,-70876.19465021731,301.2921453477787,64.0,0.9680734347623782,497
35000,-86123.92929986422,14936.70048760192,-71187.2288122623,290.8089266226981,64.0,0.9680734347623782,495
35500,-86499.6497588486,15432.637591992097,-71067.0121668565,300.4645354447259,64.0,0.9680734347623782,493
36000,-86220.7054229111,15477.08627084829,-70743.6191520628,301.3299255353082,64.0,0.9680734347623782,493
36500,-86100.74863580172,15667.516397310887,-70433.23223849083,305.03749004858065,64.0,0.9680734347623782,491
37000,-86006.63169244234,15650.53681409196,-70356.09487835038,304.7069073757544,64.0,0.9680734347623782,490
37500,-85815.35923150484,15512.529834717046,-70302.8293967878,302.01999124111194,64.0,0.9680734347623782,488
38000,-85749.7894072861,15487.141945298761,-70262.64746198733,301.52570370571715,64.0,0.9680734347623782,489
38500,-86013.99399712984,15820.071434082929,-70193.92256304692,308.00764845346987,64.0,0.9680734347623782,490
39000,-85952.28086236422,15296.367436949862,-70655.91342541436,297.81143427613557,64.0,0.9680734347623782,491
39500,-86306.12119439547,15500.985389674432,-70805.13580472104,301.7952275676297,64.0,0.9680734347623782,491
40000,-85979.1028838486,15041.853398525913,-70937.24948532268,292.85619303086105,64.0,0.9680734347623782,492
40500,-86017.66233209078,15632.764759176003,-70384.89757291478,304.3608957369538,64.0,0.9680734347623782,493
41000,-85889.83164361422,15466.812865749467,-70423.01877786475,301.12990827500175,64.0,0.9680734347623782,494
41500,-86280.52939752047,15319.983886432368,-70960.5455110881,298.2712328996902,64.0,0.9680734347623782,495
42000,-86148.09287408297,15714.563560472336,-70433.52931361063,305.9534711269306,64.0,0.9680734347623782,496
42500,-86110.02793267672,15483.63672072743,-70626.39121194929,301.4574590089713,64.0,0.9680734347623782,494
43000,-85967.64243462984,15253.59477252001,-70714.04766210984,296.97867521787083,64.0,0.9680734347623782,493
43500,-85601.4437041611,14987.237877436215,-70614.20582672488,291.7928603973777,64.0,0.9680734347623782,491
44000,-86101.69785455172,15316.810334777576,-70784.88751977414,298.2094456829566,64.0,0.9680734347623782,490
44500,-86075.82309869234,15363.35301197134,-70712.470086721,299.1156047110565,64.0,0.9680734347623782,489
45000,-85872.4251494736,15561.142875911668,-70311.28227356193,302.9664590598519,64.0,0.9680734347623782,487
45500,-86000.57407525484,15752.910899121896,-70247.66317613295,306.7000716496346,64.0,0.9680734347623782,486
46000,-85820.3284697861,15231.584602889605,-70588.74386689649,296.5501499347726,64.0,0.9680734347623782,485
46500,-86222.47641900484,15400.92440934875,-70821.5520096561,299.84709810560565,64.0,0.9680734347623782,483
47000,-86018.53818658297,15213.08656203223,-70805.45162455074,296.19000376923753,64.0,0.9680734347623782,482
47500,-86140.69638970797,15379.368897359818,-70761.32749234815,299.42742474404184,64.0,0.9680734347623782,481
48000,-86372.2454619736,15295.124941459042,-71077.12052051455,297.7872436069634,64.0,0.9680734347623782,480
48500,-85984.49326470797,15495.108214818407,-70489.38504988956,301.6808023695832,64.0,0.9680734347623782,481
49000,-85879.01865533297,15551.225120251067,-70327.7935350819,302.77336608857894,64.0,0.9680734347623782,481
49500,-86206.48740533297,15505.05946529191,-70701.42794004106,301.8745474655069,64.0,0.9680734347623782,480
50000,-86033.90195611422,15493.969164710725,-70539.9327914035,301.65862572224006,64.0,0.9680734347623782,479
50500,-85632.93345025484,15640.851603469346,-69992.0818467855,304.518341921984,64.0,0.9680734347623782,478
51000,-85761.1331572861,15433.945450087544,-70327.18770719855,300.4899986860373,64.0,0.9680734347623782,478
51500,-85957.02256158297,15028.758068372204,-70928.26449321077,292.60123452051727,64.0,0.9680734347623782,479
52000,-86242.63584283297,15620.105197310448,-70622.53064552252,304.1144213833513,64.0,0.9680734347623782,479
52500,-86199.90293267672,15496.682318481733,-70703.22061419499,301.71144925823876,64.0,0.9680734347623782,478
53000,-86465.5766387314,15346.000331145944,-71119.57630758546,298.7777580434442,64.0,0.9680734347623782,478
53500,-85735.24277642672,15094.707042016904,-70640.53573440982,293.885222925681,64.0,0.9680734347623782,479
