#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,-91851.2726338068,12280.457498048694,-79570.81513575811,239.55876154284647,64.0,0.9658409660837483,0
1000,-88765.04753615055,13820.973016340518,-74944.07451981003,269.6100841224951,64.0,0.9658409660837483,480
1500,-87728.72514845524,14474.68971435004,-73254.0354341052,282.36234213893493,64.0,0.9658409660837483,489
2000,-86868.63445021305,14628.823565474013,-72239.81088473904,285.3690798352264,64.0,0.9658409660837483,472
2500,-86313.78020216618,15177.972600118723,-71135.80760204745,296.08150342879685,64.0,0.9658409660837483,470
3000,-85443.16655470524,15531.941329090856,-69911.22522561438,302.98648317820226,64.0,0.9658409660837483,452
3500,-85153.56316115055,15544.396049040835,-69609.16711210972,303.22944133241225,64.0,0.9658409660837483,439
4000,-85375.8536884943,15287.677652297309,-70088.176036197,298.2215545172088,64.0,0.9658409660837483,432
4500,-85386.99187208805,15492.591208394151,-69894.4006636939,302.2188679503362,64.0,0.9658409660837483,430
5000,-85615.27824904118,15266.089162924793,-70349.18908611638,297.80042103920255,64.0,0.9658409660837483,428
5500,-85584.98210646305,15412.94660131738,-70172.03550514567,300.66521545506805,64.0,0.9658409660837483,416
6000,-85684.1945088068,15275.315042287926,-70408.87946651888,297.98039318069056,64.0,0.9658409660837483,415
6500,-85712.67546583805,15206.543234010169,-70506.13223182788,296.63883980430376,64.0,0.9658409660837483,414
7000,-85972.78972365055,15375.550721978536,-70597.23900167202,299.9357222303537,64.0,0.9658409660837483,417
7500,-85262.64543654118,15150.561111519113,-70112.08432502206,295.54677886645777,64.0,0.9658409660837483,413
8000,-85818.0236103693,15468.245812881272,-70349.77779748803,301.74395463385247,64.0,0.9658409660837483,408
8500,-85648.56242872868,15049.995025636628,-70598.56740309205,293.5850044788954,64.0,0.9658409660837483,411
9000,-85700.11174513493,15012.208346554195,-70687.90339858073,292.84788780020136,64.0,0.9658409660837483,410
9500,-85203.14043165836,15070.388580007479,-70132.75185165089,293.98282798256486,64.0,0.9658409660837483,414
10000,-85467.65666700993,15565.049527014606,-69902.60713999532,303.6323352478657,64.0,0.9658409660837483,419
10500,-85640.74284865055,15529.409725026926,-70111.33312362363,302.937098378461,64.0,0.9658409660837483,422
11000,-84827.99260450993,15188.768314732704,-69639.22428977722,296.2920988421442,64.0,0.9658409660837483,426
11500,-85389.76982618961,15428.341220503207,-69961.42860568641,300.9655231518429,64.0,0.9658409660837483,427
12000,-85261.9933369318,15763.433158469852,-69498.56017846195,307.50226737941233,64.0,0.9658409660837483,429
12500,-85616.70110060368,15580.780514805578,-70035.9205857981,303.9392045932178,64.0,0.9658409660837483,431
13000,-85476.08928419743,15716.895963010378,-69759.19332118705,306.59445161507944,64.0,0.9658409660837483,429
13500,-85388.1212666193,15273.281678058207,-70114.8395885611,297.9407277026972,64.0,0.9658409660837483,431
14000,-85651.51714064274,15343.544614651357,-70307.97252599138,299.3113689899044,64.0,0.9658409660837483,426
14500,-85314.59514357243,15660.689355256036,-69653.90578831639,305.498011572329,64.0,0.9658409660837483,425
15000,-85687.41838575993,15341.68361336831,-70345.73477239162,299.27506585032944,64.0,0.9658409660837483,424
15500,-85699.24956251774,15388.754019058892,-70310.49554345885,300.19328311498316,64.0,0.9658409660837483,425
16000,-85111.0245869318,15289.140526276082,-69821.88406065572,298.25009126176445,64.0,0.9658409660837483,424
16500,-85374.97990919743,15390.006036626044,-69984.97387257138,300.21770661694677,64.0,0.9658409660837483,423
17000,-85208.0675556818,15468.077619791497,-69739.9899358903,301.7406736381491,64.0,0.9658409660837483,423
17500,-84798.1583759943,15291.160183477914,-69506.99819251639,298.2894893524373,64.0,0.9658409660837483,423
18000,-85321.28166700993,15254.092677883396,-70067.18898912653,297.56640181802607,64.0,0.9658409660837483,422
18500,-85147.89421583805,15059.167431828682,-70088.72678400937,293.76393350235287,64.0,0.9658409660837483,422
19000,-85287.3741963068,15480.009729048237,-69807.36446725857,301.97343706056984,64.0,0.9658409660837483,421
19500,-85044.63249708805,15307.195270864526,-69737.43722622353,298.60229086461044,64.0,0.9658409660837483,421
