#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50000,-86552.3230637071,15358.469095036853,-71193.85396867024,299.6025055406712,64.0,0.9662038217358468,0
100000,-86457.15582737897,15629.421113486751,-70827.73471389222,304.8880521082731,64.0,0.9662038217358468,663
150000,-86040.86188206647,15467.402856979752,-70573.45902508672,301.7275108269474,64.0,0.9662038217358468,663
200000,-86536.54425511335,15473.097680412,-71063.44657470135,301.8386015455832,64.0,0.9662038217358468,662
250000,-86328.17889866803,15409.491488735424,-70918.68740993261,300.5978154830999,64.0,0.9662038217358468,662
300000,-86074.28754124616,15500.633874638239,-70573.65366660792,302.3757587799525,64.0,0.9662038217358468,662
350000,-86812.26910862897,15504.846404012758,-71307.42270461621,302.45793392042117,64.0,0.9662038217358468,661
400000,-86247.37909398053,15291.165019424865,-70956.21407455567,298.28958368878125,64.0,0.9662038217358468,660
450000,-86724.29437718366,15662.33722511027,-71061.95715207339,305.5301570898333,64.0,0.9662038217358468,660
500000,-86563.08929905866,15485.773521167692,-71077.31577789097,302.0858731731614,64.0,0.9662038217358468,659
550000,-86723.95135960553,15160.22963809548,-71563.72172151005,295.73538586688477,64.0,0.9662038217358468,659
600000,-85984.02924046491,15326.73827608308,-70657.29096438183,298.9835224374347,64.0,0.9662038217358468,658
650000,-86513.93646702741,14941.537217672216,-71572.39924935519,291.46928377714346,64.0,0.9662038217358468,658
700000,-86268.29327855085,15448.013945507118,-70820.27933304373,301.3492852094746,64.0,0.9662038217358468,657
750000,-87050.46918187116,15709.554961826652,-71340.9142200445,306.4512483873221,64.0,0.9662038217358468,657
800000,-86577.60834202741,15091.089317020727,-71486.51902500668,294.3866437950219,64.0,0.9662038217358468,657
850000,-86385.80072483991,15197.613574216142,-71188.18715062377,296.4646461114714,64.0,0.9662038217358468,656
900000,-86226.24811253522,15122.477785415947,-71103.77032711927,294.99894855782736,64.0,0.9662038217358468,656
950000,-86352.20514378522,15206.48125475226,-71145.72388903296,296.63763075535195,64.0,0.9662038217358468,656
1000000,-86330.62982640241,15791.548575274297,-70539.08125112811,308.0507236914841,64.0,0.9662038217358468,655
1050000,-86554.96332249616,15362.857668793062,-71192.1056537031,299.6881148344734,64.0,0.9662038217358468,655
1100000,-86512.54895482038,15743.160808178305,-70769.38814664207,307.10680824198386,64.0,0.9662038217358468,655
1150000,-85852.44842991803,15093.868405640824,-70758.58002427721,294.4408563541349,64.0,0.9662038217358468,655
