#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50000,-86483.38493387733,15457.662827553693,-71025.72210632364,300.9517623191075,64.0,0.9680735185677091,0
100000,-86088.97697489295,15506.071556234732,-70582.90541865822,301.89425229127954,64.0,0.9680735185677091,641
150000,-86992.05082743202,15438.84832516301,-71553.202502269,300.5854548304009,64.0,0.9680735185677091,639
200000,-86501.15849344764,15443.851819834672,-71057.30667361297,300.68286998015486,64.0,0.9680735185677091,638
250000,-86692.18498270545,15486.283885682002,-71205.90109702345,301.50899778084874,64.0,0.9680735185677091,636
300000,-86211.23478739295,15253.435674675042,-70957.79911271791,296.9755776747714,64.0,0.9680735185677091,635
350000,-86558.19438211952,15501.73786511441,-71056.4565170051,301.80987782959295,64.0,0.9680735185677091,634
400000,-86716.52763407264,15457.62182618631,-71258.90580788633,300.9509640461791,64.0,0.9680735185677091,633
450000,-86836.7079319242,15672.534073677845,-71164.17385824636,305.1351813077464,64.0,0.9680735185677091,633
500000,-86435.83598368202,15809.743776362156,-70626.09220731986,307.80657492596646,64.0,0.9680735185677091,632
550000,-86910.73210184608,15921.308273962699,-70989.42382788338,309.97867122148665,64.0,0.9680735185677091,631
600000,-86423.65068094764,15679.207585137337,-70744.4430958103,305.26511071926205,64.0,0.9680735185677091,630
650000,-86645.16154520545,15568.552582017728,-71076.60896318773,303.1107217556917,64.0,0.9680735185677091,630
700000,-86452.11442606483,15398.666442209505,-71053.44798385532,299.8031367902765,64.0,0.9680735185677091,629
750000,-86819.06559793983,15420.48068613559,-71398.58491180424,300.2278475131363,64.0,0.9680735185677091,629
800000,-86814.42192118202,15264.147189705167,-71550.27473147685,297.184124682258,64.0,0.9680735185677091,628
850000,-86155.80143778358,15496.771946038585,-70659.029491745,301.71319425497524,64.0,0.9680735185677091,628
900000,-86480.16569559608,15174.427837266587,-71305.73785832949,295.4373407388025,64.0,0.9680735185677091,628
950000,-86735.63322489295,15582.00340109109,-71153.62982380186,303.3726014298652,64.0,0.9680735185677091,627
1000000,-86976.68852274452,15068.290227675345,-71908.39829506917,293.3709028166424,64.0,0.9680735185677091,627
1050000,-86355.71586649452,15264.10200255402,-71091.6138639405,297.1832449145387,64.0,0.9680735185677091,626
